make,model,months_old,power,gear,fuel_type,kms,price,age
Porsche,911,11,331,automatic,gasoline,5600,148500,2017
Bentley,Continental,60,423,automatic,gasoline,1850,148000,2013
Porsche,Cayenne,3,324,automatic,gasoline,10,148000,2017
Porsche,911,43,350,automatic,gasoline,20000,147900,2014
Porsche,911,44,350,automatic,gasoline,35900,146500,2014
Porsche,911,41,350,automatic,gasoline,19500,145000,2014
Porsche,911,37,316,automatic,gasoline,13200,145000,2014
Porsche,Panamera,11,310,automatic,diesel,2500,145000,2017
Bentley,Continental,36,373,automatic,gasoline,28100,144900,2015
Porsche,Panamera,14,324,automatic,gasoline,15500,144900,2016
Bentley,Continental,7,467,automatic,gasoline,5000,144900,2017
Porsche,911,1,331,automatic,gasoline,30,144900,2017
Porsche,911,1,309,automatic,gasoline,30,144900,2017
Porsche,911,51,350,automatic,gasoline,42000,144500,2013
Porsche,911,29,316,automatic,gasoline,18000,143900,2015
Porsche,911,9,331,automatic,gasoline,8530,143500,2017
Land,RoverRangeRover,13,250,automatic,diesel,10900,141900,2016
Porsche,Panamera,16,310,automatic,diesel,50,140900,2016
Porsche,911,41,412,automatic,gasoline,59500,139900,2014
Porsche,Panamera,16,309,automatic,gasoline,11800,139900,2016
Porsche,Cayenne,23,419,automatic,gasoline,11700,139900,2016
Porsche,Panamera,29,419,automatic,gasoline,9700,139900,2015
Porsche,911,12,331,automatic,gasoline,7900,139900,2017
Porsche,911,7,331,automatic,gasoline,4100,139900,2017
Bentley,Continental,43,423,automatic,gasoline,29000,139000,2014
Porsche,Macan,6,324,automatic,gasoline,10,138900,2017
Porsche,911,25,309,automatic,gasoline,3900,138500,2015
Porsche,911,21,272,automatic,gasoline,3071,138500,2016
Porsche,911,44,350,automatic,gasoline,69000,138000,2014
Porsche,911,9,331,automatic,gasoline,7000,138000,2017
Porsche,911,24,316,automatic,gasoline,2200,138000,2016
Audi,A6,2,445,automatic,gasoline,1,138000,2017
Porsche,911,29,294,automatic,gasoline,1700,137999,2015
Porsche,Cayenne,23,221,automatic,diesel,61200,137900,2016
Porsche,911,46,350,automatic,gasoline,29200,136900,2014
Porsche,Panamera,9,324,automatic,gasoline,6600,136900,2017
Porsche,Panamera,14,310,automatic,diesel,14500,135900,2016
Porsche,911,32,294,automatic,gasoline,43000,135000,2015
Bentley,Continental,30,373,automatic,gasoline,22500,135000,2015
Porsche,Panamera,14,309,automatic,diesel,5000,135000,2016
Porsche,Cayenne,4,404,automatic,gasoline,2000,135000,2017
Porsche,Cayenne,4,382,automatic,gasoline,180,135000,2017
Bentley,Continental,56,423,automatic,gasoline,12000,134900,2013
Land,RoverRangeRoverSport,20,405,automatic,gasoline,2654,134900,2016
Porsche,911,28,294,automatic,gasoline,24500,134000,2015
Land,RoverRangeRover,17,250,automatic,diesel,18000,133900,2016
Porsche,911,30,294,automatic,gasoline,10438,133900,2015
Porsche,Panamera,11,310,automatic,diesel,9000,133900,2017
Land,RoverRangeRover,20,250,automatic,diesel,1500,133500,2016
Volkswagen,Touareg,121,176,manual,diesel,180000,133000,2007
